weather,lineNumber,passengersNumber,lineType,year,day,dayOfWeek,dayOfYear,isSunday,isWeekend,isHoliday,isPaques,isSchoolHoliday,isGrandSemaine,passengersNumberLag7,passengersNumberLag14,passengersNumberLag21,isFootballMatchDay
26,29,3032,daily,2019,5,4,95,False,False,False,False,False,False,2068.160525336311,2068.4381099263437,2068.438271276596,False
26,42,418,daily,2019,5,4,95,False,False,False,False,False,False,2068.160525336311,2068.4381099263437,2068.438271276596,False
26,40,2065,daily,2019,5,4,95,False,False,False,False,False,False,2068.160525336311,2068.4381099263437,2068.438271276596,False
26,104,115,night,2019,5,4,95,False,False,False,False,False,False,2068.160525336311,2068.4381099263437,2068.438271276596,False
26,27,2900,daily,2019,5,4,95,False,False,False,False,False,False,2068.160525336311,2068.4381099263437,2068.438271276596,False
26,28,13036,daily,2019,5,4,95,False,False,False,False,False,False,2068.160525336311,2068.4381099263437,2068.438271276596,False
26,18,2145,daily,2019,5,4,95,False,False,False,False,False,False,2068.160525336311,2068.4381099263437,2068.438271276596,False
26,41,1319,daily,2019,5,4,95,False,False,False,False,False,False,3032.0,2068.4381099263437,2068.438271276596,False
26,45,1820,daily,2019,5,4,95,False,False,False,False,False,False,418.0,2068.4381099263437,2068.438271276596,False
26,19,1806,daily,2019,5,4,95,False,False,False,False,False,False,2065.0,2068.4381099263437,2068.438271276596,False
26,31,2873,daily,2019,5,4,95,False,False,False,False,False,False,115.0,2068.4381099263437,2068.438271276596,False
26,102,25,night,2019,5,4,95,False,False,False,False,False,False,2900.0,2068.4381099263437,2068.438271276596,False
26,103,79,night,2019,5,4,95,False,False,False,False,False,False,13036.0,2068.4381099263437,2068.438271276596,False
26,106,113,night,2019,5,4,95,False,False,False,False,False,False,2145.0,2068.4381099263437,2068.438271276596,False
26,23,945,daily,2019,5,4,95,False,False,False,False,False,False,1319.0,3032.0,2068.438271276596,False
26,17,6990,daily,2019,5,4,95,False,False,False,False,False,False,1820.0,418.0,2068.438271276596,False
26,101,107,night,2019,5,4,95,False,False,False,False,False,False,1806.0,2065.0,2068.438271276596,False
26,24,2745,daily,2019,5,4,95,False,False,False,False,False,False,2873.0,115.0,2068.438271276596,False
26,21,1608,daily,2019,5,4,95,False,False,False,False,False,False,25.0,2900.0,2068.438271276596,False
26,110,68,night,2019,5,4,95,False,False,False,False,False,False,79.0,13036.0,2068.438271276596,False
26,26,5295,daily,2019,5,4,95,False,False,False,False,False,False,113.0,2145.0,2068.438271276596,False
26,108,291,night,2019,5,4,95,False,False,False,False,False,False,945.0,1319.0,3032.0,False
26,33,4880,daily,2019,5,4,95,False,False,False,False,False,False,6990.0,1820.0,418.0,False
26,16,1000,daily,2019,5,4,95,False,False,False,False,False,False,107.0,1806.0,2065.0,False
26,14,4355,daily,2019,5,4,95,False,False,False,False,False,False,2745.0,2873.0,115.0,False
26,109,36,night,2019,5,4,95,False,False,False,False,False,False,1608.0,25.0,2900.0,False
26,37,1064,daily,2019,5,4,95,False,False,False,False,False,False,68.0,79.0,13036.0,False
26,35,659,daily,2019,5,4,95,False,False,False,False,False,False,5295.0,113.0,2145.0,False
26,36,1384,daily,2019,5,4,95,False,False,False,False,False,False,291.0,945.0,1319.0,False
26,13,11659,daily,2019,5,4,95,False,False,False,False,False,False,4880.0,6990.0,1820.0,False
26,46,181,daily,2019,5,4,95,False,False,False,False,False,False,1000.0,107.0,1806.0,False
26,25,4016,daily,2019,5,4,95,False,False,False,False,False,False,4355.0,2745.0,2873.0,False
26,38,414,daily,2019,5,4,95,False,False,False,False,False,False,36.0,1608.0,25.0,False
